TGs,Potential_TFs,Predicted_TFBS,match_score
KLRK1,RELA,-,6.64893617021276
PXN,RELA,-,6.91489361702128
AP1G2,RELA,-,6.70212765957447
UBE2I,RELA,-,6.70212765957447
KIFC3,RELA,-,6.64893617021276
FTSJ3,RELA,-,6.86170212765957
FUT2,RELA,-,6.70212765957447
LINC00189,RELA,-,6.70212765957447
ETNPPL,RELA,-,6.91489361702128
LINC00240,RELA,-,6.70212765957447
JAZF1,RELA,-,7.28723404255319
AGAP3,RELA,-,6.75531914893617
LINC00484,RELA,-,7.02127659574468
POMT1,RELA,-,6.70212765957447
NBL1,RELA,-,6.91489361702128
SYT6,RELA,-,6.80851063829787
CTSH,RELA,-,6.86170212765957
MYH11,RELA,-,6.91489361702128
COX4I1,RELA,-,6.96808510638298
ABR,RELA,-,6.80851063829787
ABCA6,RELA,-,6.70212765957447
HGS,RELA,-,6.70212765957447
MYOM2,RELA,-,6.70212765957447
SH3KBP1,RELA,-,6.70212765957447
ANKRD65,ZNF354C,-,4.89285714285714
MMP23B,ZNF354C,-,4.05952380952381
CDK11A,ZNF354C,-,4.23809523809524
MEGF6,ZNF354C,-,4.47619047619048
DNAJC11,ZNF354C,-,4.89285714285714
GPR157,ZNF354C,-,4.47619047619048
SRM,ZNF354C,-,4.35714285714286
ARHGEF10L,ZNF354C,-,4.47619047619048
TEX46,ZNF354C,-,4
PTAFR,ZNF354C,-,3.94047619047619
MAP7D1,ZNF354C,-,4.29761904761905
FOXJ3,ZNF354C,-,4.35714285714286
P3H1,ZNF354C,-,4.29761904761905
DMAP1,ZNF354C,-,4
UROD,ZNF354C,-,3.94047619047619
PPM1J,ZNF354C,-,4.47619047619048
HIPK1,ZNF354C,-,4.83333333333333
SYT6,ZNF354C,-,4.29761904761905
CSDE1,ZNF354C,-,3.94047619047619
NOTCH2NLA,ZNF354C,-,4.35714285714286
LINC01138,ZNF354C,-,3.94047619047619
SCAMP3,ZNF354C,-,4.29761904761905
RAB25,ZNF354C,-,3.94047619047619
LRRC71,ZNF354C,-,3.94047619047619
CFH,ZNF354C,-,4.05952380952381
PIK3C2B,ZNF354C,-,4.05952380952381
LEMD1,ZNF354C,-,4.23809523809524
MAPKAPK2,ZNF354C,-,4.47619047619048
C4BPA,ZNF354C,-,4
TARBP1,ZNF354C,-,4.41666666666667
SDCCAG8,ZNF354C,-,4
LINC02639,ZNF354C,-,3.94047619047619
ENTPD1-AS1,ZNF354C,-,4.89285714285714
ADD3,ZNF354C,-,4.65476190476191
SHTN1,ZNF354C,-,4.35714285714286
KNDC1,ZNF354C,-,4.29761904761905
SCART1,ZNF354C,-,4
RIC8A,ZNF354C,-,3.94047619047619
SLC22A18,ZNF354C,-,4
OSBPL5,ZNF354C,-,3.94047619047619
RHOG,ZNF354C,-,4
CD44,ZNF354C,-,4.11904761904762
SLC1A2,ZNF354C,-,4
TKFC,ZNF354C,-,3.94047619047619
MYRF,ZNF354C,-,4.65476190476191
BAD,ZNF354C,-,4.23809523809524
NARS2,ZNF354C,-,4.41666666666667
BTG4,ZNF354C,-,4.29761904761905
DIXDC1,ZNF354C,-,4.83333333333333
TMPRSS4,ZNF354C,-,4.23809523809524
KLRK1,ZNF354C,-,4.29761904761905
ETV6,ZNF354C,-,4.17857142857143
AEBP2,ZNF354C,-,4.65476190476191
PTHLH,ZNF354C,-,4.47619047619048
ETFBKMT,ZNF354C,-,3.94047619047619
KMT2D,ZNF354C,-,4.11904761904762
PTPRB,ZNF354C,-,4.89285714285714
TCTN1,ZNF354C,-,4.89285714285714
GALNT9,ZNF354C,-,4
LINC00543,ZNF354C,-,4
DLEU7,ZNF354C,-,4.89285714285714
CDC16,ZNF354C,-,4
OR6J1,ZNF354C,-,4.35714285714286
AP1G2,ZNF354C,-,3.94047619047619
DDHD1,ZNF354C,-,4.41666666666667
FOXN3,ZNF354C,-,3.94047619047619
ITPK1,ZNF354C,-,3.94047619047619
CCDC197,ZNF354C,-,4.11904761904762
GSC,ZNF354C,-,3.94047619047619
EML1,ZNF354C,-,4.41666666666667
EXOC3L4,ZNF354C,-,4.29761904761905
MEIS2,ZNF354C,-,4
ONECUT1,ZNF354C,-,4
MAN2C1,ZNF354C,-,4.83333333333333
TMEM266,ZNF354C,-,4
CHSY1,ZNF354C,-,4
PDIA2,ZNF354C,-,4.23809523809524
CLUAP1,ZNF354C,-,3.94047619047619
USP7,ZNF354C,-,4.29761904761905
GRIN2A,ZNF354C,-,4.11904761904762
ACSM5,ZNF354C,-,4.11904761904762
MYLK3,ZNF354C,-,4.47619047619048
CNEP1R1,ZNF354C,-,4.23809523809524
ADCY7,ZNF354C,-,3.94047619047619
CARMIL2,ZNF354C,-,4.29761904761905
BCAR1,ZNF354C,-,3.94047619047619
ZC3H18,ZNF354C,-,4.29761904761905
ACSF3,ZNF354C,-,4.29761904761905
ABR,ZNF354C,-,3.94047619047619
BCL6B,ZNF354C,-,4
TMEM102,ZNF354C,-,4.65476190476191
SHBG,ZNF354C,-,4.83333333333333
SREBF1,ZNF354C,-,4.17857142857143
VTN,ZNF354C,-,4.89285714285714
NF1,ZNF354C,-,3.94047619047619
RHBDL3,ZNF354C,-,4.29761904761905
MLLT6,ZNF354C,-,3.94047619047619
ERBB2,ZNF354C,-,4.29761904761905
CASC3,ZNF354C,-,4.83333333333333
HSPB9,ZNF354C,-,3.94047619047619
RAB5C,ZNF354C,-,4
MAP3K14,ZNF354C,-,4
ARHGAP27,ZNF354C,-,4.65476190476191
SPATA20,ZNF354C,-,4.29761904761905
WFIKKN2,ZNF354C,-,4.23809523809524
AKAP1,ZNF354C,-,4.65476190476191
FTSJ3,ZNF354C,-,3.94047619047619
TTYH2,ZNF354C,-,4.17857142857143
HID1,ZNF354C,-,4.65476190476191
NUP85,ZNF354C,-,4.23809523809524
WBP2,ZNF354C,-,4.47619047619048
RNF213,ZNF354C,-,4.17857142857143
ENDOV,ZNF354C,-,4.23809523809524
HGS,ZNF354C,-,4.65476190476191
HGS,ZNF354C,-,4.29761904761905
P4HB,ZNF354C,-,4
DUS1L,ZNF354C,-,4.23809523809524
CCDC57,ZNF354C,-,4.83333333333333
CYBC1,ZNF354C,-,4.17857142857143
TGIF1,ZNF354C,-,4.23809523809524
GNAL,ZNF354C,-,4.35714285714286
ZBTB7C,ZNF354C,-,4.23809523809524
SMAD7,ZNF354C,-,4.17857142857143
POLRMT,ZNF354C,-,4.29761904761905
TMPRSS9,ZNF354C,-,3.94047619047619
FZR1,ZNF354C,-,4
MAP2K2,ZNF354C,-,4.29761904761905
TIMM44,ZNF354C,-,4.17857142857143
CCL25,ZNF354C,-,3.94047619047619
ELOF1,ZNF354C,-,4.35714285714286
MAN2B1,ZNF354C,-,4.29761904761905
TNPO2,ZNF354C,-,4.47619047619048
NWD1,ZNF354C,-,4.23809523809524
KXD1,ZNF354C,-,4.17857142857143
CRLF1,ZNF354C,-,4
TM6SF2,ZNF354C,-,4.29761904761905
PEPD,ZNF354C,-,4.11904761904762
CD22,ZNF354C,-,4.89285714285714
LINC01766,ZNF354C,-,4
FBXO17,ZNF354C,-,3.94047619047619
EML2,ZNF354C,-,4.23809523809524
LHB,ZNF354C,-,3.94047619047619
PIH1D1,ZNF354C,-,3.94047619047619
TARM1,ZNF354C,-,4.65476190476191
LILRB1,ZNF354C,-,4.05952380952381
SSC5D,ZNF354C,-,4.35714285714286
SLC8A1,ZNF354C,-,3.94047619047619
EPCAM-DT,ZNF354C,-,3.94047619047619
XPO1,ZNF354C,-,4.83333333333333
RAB11FIP5,ZNF354C,-,4.29761904761905
C2orf92,ZNF354C,-,4.65476190476191
IL1RL2,ZNF354C,-,4
LINC01114,ZNF354C,-,4.23809523809524
LIMS2,ZNF354C,-,4.11904761904762
TBR1,ZNF354C,-,4.29761904761905
LINC01116,ZNF354C,-,4.83333333333333
ITPRID2,ZNF354C,-,4
FSIP2-AS2,ZNF354C,-,3.94047619047619
XRCC5,ZNF354C,-,3.94047619047619
PNKD,ZNF354C,-,4.35714285714286
PTPRN,ZNF354C,-,4.11904761904762
DPM1,ZNF354C,-,4.17857142857143
MIR1-1HG,ZNF354C,-,4.29761904761905
SLCO4A1,ZNF354C,-,4
RIPPLY3,ZNF354C,-,4.17857142857143
ERG,ZNF354C,-,3.94047619047619
LINC01668,ZNF354C,-,4.23809523809524
POFUT2,ZNF354C,-,4.47619047619048
CDC45,ZNF354C,-,4.41666666666667
MED15,ZNF354C,-,4
PPIL2,ZNF354C,-,4.35714285714286
KIAA0930,ZNF354C,-,4.17857142857143
BRD1,ZNF354C,-,4.35714285714286
HDAC10,ZNF354C,-,3.94047619047619
SBF1,ZNF354C,-,4.29761904761905
CMTM7,ZNF354C,-,4
STAC,ZNF354C,-,3.94047619047619
LRRFIP2,ZNF354C,-,3.94047619047619
SCN11A,ZNF354C,-,4.35714285714286
NBEAL2,ZNF354C,-,4.11904761904762
P4HTM,ZNF354C,-,4.05952380952381
AMT,ZNF354C,-,4.41666666666667
GNAT1,ZNF354C,-,4.17857142857143
GRM2,ZNF354C,-,3.94047619047619
NT5DC2,ZNF354C,-,4
CEP63,ZNF354C,-,4
DZIP1L,ZNF354C,-,4.23809523809524
ARHGEF26,ZNF354C,-,4.11904761904762
CLCN2,ZNF354C,-,4.83333333333333
CLCN2,ZNF354C,-,3.94047619047619
LINC00885,ZNF354C,-,4.83333333333333
ADD1,ZNF354C,-,4
LAP3,ZNF354C,-,3.94047619047619
SCARB2,ZNF354C,-,3.94047619047619
CNOT6L,ZNF354C,-,4
PRKG2,ZNF354C,-,4
HNRNPD,ZNF354C,-,4
WDFY3-AS2,ZNF354C,-,4.35714285714286
TRIP13,ZNF354C,-,3.94047619047619
P4HA2,ZNF354C,-,4.47619047619048
DIAPH1,ZNF354C,-,4.29761904761905
CCNJL,ZNF354C,-,4
MGAT4B,ZNF354C,-,4.23809523809524
F13A1,ZNF354C,-,4
ELOVL2-AS1,ZNF354C,-,4.05952380952381
LINC00240,ZNF354C,-,4.83333333333333
DDR1,ZNF354C,-,4.83333333333333
C2,ZNF354C,-,4.29761904761905
NOTCH4,ZNF354C,-,4.29761904761905
BRD2,ZNF354C,-,4.11904761904762
SMIM40,ZNF354C,-,4.41666666666667
RNF8,ZNF354C,-,4.17857142857143
PPP2R5D,ZNF354C,-,4.35714285714286
DLK2,ZNF354C,-,3.94047619047619
CAPN11,ZNF354C,-,4.05952380952381
RUNX2,ZNF354C,-,4.23809523809524
RCAN2,ZNF354C,-,3.94047619047619
PRDM1,ZNF354C,-,4
HDAC2-AS2,ZNF354C,-,3.94047619047619
CCN2,ZNF354C,-,4
PLAGL1,ZNF354C,-,4.29761904761905
RAMACL,ZNF354C,-,4.17857142857143
TMEM184A,ZNF354C,-,4.83333333333333
GRB10,ZNF354C,-,3.94047619047619
LINC00174,ZNF354C,-,4
SRRM3,ZNF354C,-,4
ASNS,ZNF354C,-,3.94047619047619
TECPR1,ZNF354C,-,4
TPK1,ZNF354C,-,4.41666666666667
RARRES2,ZNF354C,-,3.94047619047619
AGAP3,ZNF354C,-,4
MYOM2,ZNF354C,-,4.35714285714286
FAM66E,ZNF354C,-,4
SFTPC,ZNF354C,-,4.17857142857143
FAM83A,ZNF354C,-,4.89285714285714
LINC00964,ZNF354C,-,3.94047619047619
PVT1,ZNF354C,-,4.29761904761905
ST3GAL1,ZNF354C,-,4
PARP10,ZNF354C,-,4.83333333333333
GLDC,ZNF354C,-,4
STOML2,ZNF354C,-,3.94047619047619
TJP2,ZNF354C,-,4
ROR2,ZNF354C,-,4.11904761904762
BARX1,ZNF354C,-,3.94047619047619
LHX6,ZNF354C,-,3.94047619047619
LRRC8A,ZNF354C,-,4.17857142857143
PHYHD1,ZNF354C,-,3.94047619047619
FNBP1,ZNF354C,-,4.29761904761905
NUP214,ZNF354C,-,4.11904761904762
KCNT1,ZNF354C,-,4
NACC2,ZNF354C,-,4
QSOX2,ZNF354C,-,4
EHMT1,ZNF354C,-,4
TSPAN7,ZNF354C,-,4
CCDC22,ZNF354C,-,4.47619047619048
TRO,ZNF354C,-,4.17857142857143
EDA2R,ZNF354C,-,4.89285714285714
MED12,ZNF354C,-,3.94047619047619
TCEAL5,ZNF354C,-,4.83333333333333
FGF13,ZNF354C,-,4.23809523809524
PNCK,ZNF354C,-,4.23809523809524
L1CAM,ZNF354C,-,4.29761904761905
IRAK1,ZNF354C,-,4.05952380952381
GDI1,ZNF354C,-,4
ANKRD65,ZNF354C,-,4
CDK11A,ZNF354C,-,3.94047619047619
PRKCZ,ZNF354C,-,3.94047619047619
GPR157,ZNF354C,-,4.89285714285714
PADI2,ZNF354C,-,4.35714285714286
NBL1,ZNF354C,-,3.94047619047619
CRYBG2,ZNF354C,-,4
DMAP1,ZNF354C,-,4.83333333333333
ABCA4,ZNF354C,-,4
PLPPR5,ZNF354C,-,3.94047619047619
NTNG1,ZNF354C,-,4.35714285714286
SYT6,ZNF354C,-,4.47619047619048
CSDE1,ZNF354C,-,3.94047619047619
NOTCH2NLA,ZNF354C,-,4
THEM5,ZNF354C,-,4.35714285714286
LENEP,ZNF354C,-,4.11904761904762
TMEM79,ZNF354C,-,4.83333333333333
CD1E,ZNF354C,-,4.05952380952381
KIAA1614-AS1,ZNF354C,-,4
LEMD1,ZNF354C,-,4.35714285714286
HHAT,ZNF354C,-,4.35714285714286
LINC02639,ZNF354C,-,3.94047619047619
FAM107B,ZNF354C,-,4
SVIL,ZNF354C,-,4
UEVLD,ZNF354C,-,3.94047619047619
GAS2,ZNF354C,-,3.94047619047619
CD44,ZNF354C,-,3.94047619047619
TKFC,ZNF354C,-,4
MYRF,ZNF354C,-,4
CTSF,ZNF354C,-,4.05952380952381
SSH3,ZNF354C,-,4.89285714285714
ATM,ZNF354C,-,4
BTG4,ZNF354C,-,3.94047619047619
TMPRSS4,ZNF354C,-,4.29761904761905
KLRK1,ZNF354C,-,3.94047619047619
KIF21A,ZNF354C,-,4.23809523809524
STAT6,ZNF354C,-,3.94047619047619
R3HDM2,ZNF354C,-,3.94047619047619
WSCD2,ZNF354C,-,4.23809523809524
CORO1C,ZNF354C,-,3.94047619047619
HRK,ZNF354C,-,4.29761904761905
LINC00327,ZNF354C,-,3.94047619047619
LINC00543,ZNF354C,-,3.94047619047619
ENOX1,ZNF354C,-,4
RUBCNL,ZNF354C,-,4
MYCBP2-AS1,ZNF354C,-,4.35714285714286
RNF31,ZNF354C,-,3.94047619047619
NYNRIN,ZNF354C,-,3.94047619047619
PAPLN,ZNF354C,-,4.11904761904762
FOXN3,ZNF354C,-,3.94047619047619
EXOC3L4,ZNF354C,-,4
ATP10A,ZNF354C,-,4
CCDC32,ZNF354C,-,3.94047619047619
TUBGCP4,ZNF354C,-,4
ONECUT1,ZNF354C,-,4.35714285714286
RORA,ZNF354C,-,4
EWSAT1,ZNF354C,-,4.83333333333333
AKAP13,ZNF354C,-,4.35714285714286
ANPEP,ZNF354C,-,4.83333333333333
ALDH1A3,ZNF354C,-,4
PDIA2,ZNF354C,-,3.94047619047619
CIAO3,ZNF354C,-,3.94047619047619
CCDC154,ZNF354C,-,4.29761904761905
CLUAP1,ZNF354C,-,4
ATXN2L,ZNF354C,-,4.29761904761905
DOC2A,ZNF354C,-,4.47619047619048
ZNF785,ZNF354C,-,4
KAT8,ZNF354C,-,3.94047619047619
MYLK3,ZNF354C,-,4.65476190476191
TERF2,ZNF354C,-,4.11904761904762
PMFBP1,ZNF354C,-,4
BCAR1,ZNF354C,-,4.83333333333333
CFDP1,ZNF354C,-,4.23809523809524
COX4I1,ZNF354C,-,4.23809523809524
ZC3H18,ZNF354C,-,4.35714285714286
ACSF3,ZNF354C,-,4.35714285714286
WDR81,ZNF354C,-,4.35714285714286
BCL6B,ZNF354C,-,4.29761904761905
RAI1,ZNF354C,-,3.94047619047619
WSB1,ZNF354C,-,4.23809523809524
VTN,ZNF354C,-,4.11904761904762
PSMB3,ZNF354C,-,4.05952380952381
ERBB2,ZNF354C,-,4.83333333333333
CASC3,ZNF354C,-,4.47619047619048
DNAJC7,ZNF354C,-,4.41666666666667
RAB5C,ZNF354C,-,4.83333333333333
EZH1,ZNF354C,-,4.11904761904762
HDAC5,ZNF354C,-,3.94047619047619
GRN,ZNF354C,-,4.11904761904762
ARHGAP27,ZNF354C,-,4.83333333333333
TMEM92,ZNF354C,-,4
SPATA20,ZNF354C,-,3.94047619047619
CD79B,ZNF354C,-,4.41666666666667
TTYH2,ZNF354C,-,4.05952380952381
WBP2,ZNF354C,-,3.94047619047619
RNF213,ZNF354C,-,4.65476190476191
ENDOV,ZNF354C,-,4.29761904761905
SLC38A10,ZNF354C,-,4.83333333333333
HGS,ZNF354C,-,4.65476190476191
CCDC57,ZNF354C,-,3.94047619047619
CYBC1,ZNF354C,-,4
TCF4,ZNF354C,-,4.11904761904762
POLRMT,ZNF354C,-,4.29761904761905
POLRMT,ZNF354C,-,4
PWWP3A,ZNF354C,-,4.41666666666667
CACTIN,ZNF354C,-,4.83333333333333
RFX1,ZNF354C,-,4.29761904761905
GIPC1,ZNF354C,-,4.35714285714286
TPM4,ZNF354C,-,4.35714285714286
COLGALT1,ZNF354C,-,4
PIK3R2,ZNF354C,-,4.17857142857143
TM6SF2,ZNF354C,-,4
MAU2,ZNF354C,-,4.35714285714286
PEPD,ZNF354C,-,4
CD22,ZNF354C,-,4.35714285714286
NPHS1,ZNF354C,-,4.35714285714286
FBXO17,ZNF354C,-,4.05952380952381
NKPD1,ZNF354C,-,4.83333333333333
LIN7B,ZNF354C,-,4.17857142857143
HRC,ZNF354C,-,4.65476190476191
TMC4,ZNF354C,-,3.94047619047619
OTOF,ZNF354C,-,4
EPCAM-DT,ZNF354C,-,4.17857142857143
CCDC85A,ZNF354C,-,4.83333333333333
RAB11FIP5,ZNF354C,-,4.89285714285714
C2orf92,ZNF354C,-,4
FHL2,ZNF354C,-,3.94047619047619
LIMS2,ZNF354C,-,4.17857142857143
SMPD4,ZNF354C,-,3.94047619047619
TBR1,ZNF354C,-,4.11904761904762
DPP4,ZNF354C,-,3.94047619047619
LINC01116,ZNF354C,-,4.89285714285714
DOCK10,ZNF354C,-,4
SP140,ZNF354C,-,4
INPP5D,ZNF354C,-,4.23809523809524
KIF1A,ZNF354C,-,4.29761904761905
SLCO4A1,ZNF354C,-,4.17857142857143
C2CD2,ZNF354C,-,3.94047619047619
SLC37A1,ZNF354C,-,4.41666666666667
CDC45,ZNF354C,-,4.23809523809524
MED15,ZNF354C,-,4.29761904761905
LZTR1,ZNF354C,-,4.17857142857143
PPIL2,ZNF354C,-,4.47619047619048
CABIN1,ZNF354C,-,3.94047619047619
CSNK1E,ZNF354C,-,4
SULT4A1,ZNF354C,-,4.35714285714286
KIAA0930,ZNF354C,-,4
BRD1,ZNF354C,-,4
MOV10L1,ZNF354C,-,4
HDAC10,ZNF354C,-,4
CMTM7,ZNF354C,-,3.94047619047619
GASK1A,ZNF354C,-,4.89285714285714
NBEAL2,ZNF354C,-,4.23809523809524
AMT,ZNF354C,-,4.41666666666667
GNAT1,ZNF354C,-,4.29761904761905
NT5DC2,ZNF354C,-,4.11904761904762
ACOX2,ZNF354C,-,4
DCBLD2,ZNF354C,-,4.83333333333333
CD200,ZNF354C,-,4
CASR,ZNF354C,-,4
PLXND1,ZNF354C,-,3.94047619047619
CEP63,ZNF354C,-,4.65476190476191
DZIP1L,ZNF354C,-,4.29761904761905
PCOLCE2,ZNF354C,-,4.23809523809524
ARHGEF26,ZNF354C,-,4.11904761904762
MFSD1,ZNF354C,-,4.17857142857143
MECOM,ZNF354C,-,3.94047619047619
CLCN2,ZNF354C,-,4.35714285714286
ETV5,ZNF354C,-,3.94047619047619
TFRC,ZNF354C,-,4.89285714285714
LINC00885,ZNF354C,-,4.35714285714286
GAK,ZNF354C,-,4.11904761904762
GAK,ZNF354C,-,4
CTBP1-AS,ZNF354C,-,4.11904761904762
ADD1,ZNF354C,-,4.05952380952381
LAP3,ZNF354C,-,4.17857142857143
FGF5,ZNF354C,-,3.94047619047619
HNRNPD,ZNF354C,-,4.89285714285714
SLC1A3,ZNF354C,-,4
LIFR-AS1,ZNF354C,-,4.41666666666667
LINC01843,ZNF354C,-,4.29761904761905
NME5,ZNF354C,-,4
MATR3,ZNF354C,-,3.94047619047619
DIAPH1,ZNF354C,-,4
F13A1,ZNF354C,-,4.29761904761905
LINC00240,ZNF354C,-,3.94047619047619
DDR1,ZNF354C,-,3.94047619047619
LY6G6C,ZNF354C,-,4.41666666666667
NOTCH4,ZNF354C,-,3.94047619047619
KCNK17,ZNF354C,-,3.94047619047619
PTK7,ZNF354C,-,4.29761904761905
SPATS1,ZNF354C,-,4.41666666666667
PRDM1,ZNF354C,-,4.17857142857143
HDAC2-AS2,ZNF354C,-,3.94047619047619
SYNE1,ZNF354C,-,4.47619047619048
RAMACL,ZNF354C,-,3.94047619047619
ZFAND2A,ZNF354C,-,4
CCZ1B,ZNF354C,-,4.35714285714286
ICA1,ZNF354C,-,3.94047619047619
JAZF1,ZNF354C,-,4
GRB10,ZNF354C,-,4
LINC00174,ZNF354C,-,4.17857142857143
AUTS2,ZNF354C,-,4.35714285714286
RHBDD2,ZNF354C,-,4.35714285714286
CROT,ZNF354C,-,3.94047619047619
ASNS,ZNF354C,-,4.35714285714286
COPS6,ZNF354C,-,4
NFE4,ZNF354C,-,4.83333333333333
TPK1,ZNF354C,-,4.47619047619048
AGAP3,ZNF354C,-,3.94047619047619
SMARCD3,ZNF354C,-,3.94047619047619
FAM66E,ZNF354C,-,4.47619047619048
TRMT9B,ZNF354C,-,4.17857142857143
EBF2,ZNF354C,-,4
PTK2B,ZNF354C,-,4.11904761904762
CLU,ZNF354C,-,4.11904761904762
GPAT4,ZNF354C,-,4
ZHX2,ZNF354C,-,4.29761904761905
RNF139,ZNF354C,-,4
ST3GAL1,ZNF354C,-,3.94047619047619
KHDRBS3,ZNF354C,-,3.94047619047619
GPAA1,ZNF354C,-,4.41666666666667
PGM5P3-AS1,ZNF354C,-,4.35714285714286
PHF24,ZNF354C,-,4.17857142857143
TJP2,ZNF354C,-,4.29761904761905
PCA3,ZNF354C,-,3.94047619047619
ROR2,ZNF354C,-,4.83333333333333
PHYHD1,ZNF354C,-,4.35714285714286
ADAMTS13,ZNF354C,-,4.41666666666667
LCN8,ZNF354C,-,4.35714285714286
ASB9,ZNF354C,-,3.94047619047619
NLGN3,ZNF354C,-,3.94047619047619
DACH2,ZNF354C,-,4
L1CAM,ZNF354C,-,4.17857142857143
GDI1,ZNF354C,-,4.23809523809524
UPB1,PLAG1,-,10.3085106382979
SPOCK3,PLAG1,-,9.24468085106383
NME5,PLAG1,-,10.0425531914894
MAGI2-AS3,PLAG1,-,10.2021276595745
ENTR1,PLAG1,-,9.13829787234042
VEGFB,PLAG1,-,10.1489361702128
MME,PLAG1,-,9.40425531914894
DDB2,ESR2,-,8.5042092239016
TMEM116,ESR2,-,8.59494407918679
LINC01588,ESR2,-,8.77944637181882
FZR1,ESR2,-,8.42075256556442
PTK2B,ESR2,-,9.28697930566001
HRK,ESR2,-,8.50869744535287
AKAP1,ESR2,-,8.31255003760402
ZBTB7C,ESR2,-,8.44040369732405
CCL25,ESR2,-,8.61216914529707
UQCC1,ESR2,-,8.32856207088964
P4HA2,ESR2,-,8.27082170843543
DDR1,ESR2,-,8.25262621606541
HIPK1,SREBF1,-,6.39455782312925
SYT6,SREBF1,-,6.93877551020408
LINC00598,SREBF1,-,6.34353741496599
SMAD3,SREBF1,-,6.68367346938776
KIFC3,SREBF1,-,6.68367346938776
ABCA6,SREBF1,-,6.92176870748299
MAP2K2,SREBF1,-,6.73469387755102
ARHGAP33,SREBF1,-,6.6156462585034
PCBP1-AS1,SREBF1,-,6.63265306122449
ERMN,SREBF1,-,6.42857142857143
ABCB6,SREBF1,-,6.64965986394558
PICK1,SREBF1,-,6.53061224489796
HDAC11,SREBF1,-,6.49659863945578
NOTCH4,SREBF1,-,6.70068027210884
LINC00174,SREBF1,-,6.63265306122449
TSPAN12,SREBF1,-,6.41156462585034
DNAJB6,SREBF1,-,6.46258503401361
MYOM2,SREBF1,-,6.92176870748299
LY6K,SREBF1,-,7.00680272108844
ST7L,SREBF1,-,7.48299319727891
PPM1J,SREBF1,-,6.39455782312925
ARHGEF2,SREBF1,-,6.87074829931973
WT1-AS,SREBF1,-,6.37755102040816
TMPRSS4,SREBF1,-,6.73469387755102
CD9,SREBF1,-,6.58163265306123
HRK,SREBF1,-,6.93877551020408
RUBCNL,SREBF1,-,6.49659863945578
PAPLN,SREBF1,-,6.37755102040816
SERPINA1,SREBF1,-,7.39795918367347
AKAP13,SREBF1,-,7.38095238095238
CPNE2,SREBF1,-,6.41156462585034
ERBB2,SREBF1,-,6.41156462585034
CASC3,SREBF1,-,6.49659863945578
MYL4,SREBF1,-,6.44557823129252
POLRMT,SREBF1,-,6.70068027210884
CRB3,SREBF1,-,6.37755102040816
CLEC4G,SREBF1,-,6.41156462585034
OTOF,SREBF1,-,6.7687074829932
MYH9,SREBF1,-,6.68367346938776
RPL35A,SREBF1,-,6.7687074829932
P4HA2,SREBF1,-,6.41156462585034
DLK2,SREBF1,-,6.6156462585034
TMEM184A,SREBF1,-,6.37755102040816
